set,scene,imgfile,seen,novel,novelmaybe,familiarmaybe,familiar
A,inside,sun_biumuljdnxnqtlcf.png,familiar,21,10,6,6
A,inside,sun_biumuljdnxnqtlcf.png,novel,15,10,1,1
A,inside,sun_blkzrscmyrliztij.png,familiar,11,11,8,2
A,inside,sun_blkzrscmyrliztij.png,novel,14,12,10,2
A,inside,sun_bpmmdgszoqryjmdc.png,familiar,15,16,4,2
A,inside,sun_bpmmdgszoqryjmdc.png,novel,13,14,6,NA
A,inside,sun_bsmswguoyiamatyu.png,familiar,12,7,2,2
A,inside,sun_bsmswguoyiamatyu.png,novel,20,16,7,4
A,inside,sun_bxipjwerkfcyzyri.png,familiar,18,10,9,3
A,inside,sun_bxipjwerkfcyzyri.png,novel,9,10,8,2
A,inside,sun_bxzowyjwupekdsyz.png,familiar,11,11,8,3
A,inside,sun_bxzowyjwupekdsyz.png,novel,19,10,4,1
A,inside,sun_bzybqfaecwsubwwo.png,familiar,11,8,5,10
A,inside,sun_bzybqfaecwsubwwo.png,novel,16,13,6,1
A,inside,sun_ciuexjuasoqmnysa.png,familiar,14,12,3,5
A,inside,sun_ciuexjuasoqmnysa.png,novel,21,14,2,NA
A,inside,sun_driyvaqmmhjdxhuk.png,familiar,12,3,5,8
A,inside,sun_driyvaqmmhjdxhuk.png,novel,21,12,7,1
A,inside,sun_dzuamfdvfbbjouau.png,familiar,10,11,4,3
A,inside,sun_dzuamfdvfbbjouau.png,novel,25,15,2,NA
A,outside_man,sun_aaafvavryivlwifa.png,familiar,5,4,15,9
A,outside_man,sun_aaafvavryivlwifa.png,novel,12,4,7,6
A,outside_man,sun_aadopnnweznhggye.png,familiar,8,6,4,6
A,outside_man,sun_aadopnnweznhggye.png,novel,11,11,2,1
A,outside_man,sun_aaipvtqzzpbvmhnb.png,familiar,15,8,4,2
A,outside_man,sun_aaipvtqzzpbvmhnb.png,novel,10,8,8,1
A,outside_man,sun_aampbyuzlgrcrygt.png,familiar,12,11,6,2
A,outside_man,sun_aampbyuzlgrcrygt.png,novel,9,9,7,1
A,outside_man,sun_abcpbpidmlveztau.png,familiar,9,6,3,9
A,outside_man,sun_abcpbpidmlveztau.png,novel,20,8,2,NA
A,outside_man,sun_abmwkkexqzjttlyv.png,familiar,7,8,4,8
A,outside_man,sun_abmwkkexqzjttlyv.png,novel,14,9,4,1
A,outside_man,sun_acljdhtouiwvalkv.png,familiar,10,5,6,7
A,outside_man,sun_acljdhtouiwvalkv.png,novel,10,10,2,1
A,outside_man,sun_acojhtjciuciuhey.png,familiar,11,6,10,3
A,outside_man,sun_acojhtjciuciuhey.png,novel,14,7,2,1
A,outside_man,sun_advvqhvtshxmmuea.png,familiar,7,8,7,4
A,outside_man,sun_advvqhvtshxmmuea.png,novel,17,12,3,4
A,outside_man,sun_aggowhzjwlerlnxs.png,familiar,10,10,1,4
A,outside_man,sun_aggowhzjwlerlnxs.png,novel,16,10,5,1
A,outside_man,sun_agonfthpcwebmicc.png,familiar,13,4,6,1
A,outside_man,sun_agonfthpcwebmicc.png,novel,11,6,8,2
A,outside_man,sun_ahsknmkvyzjvzpic.png,familiar,5,9,5,10
A,outside_man,sun_ahsknmkvyzjvzpic.png,novel,10,11,1,3
A,outside_man,sun_amfbqueyljxzfmur.png,familiar,8,4,9,4
A,outside_man,sun_amfbqueyljxzfmur.png,novel,21,4,5,NA
A,outside_man,sun_amiicpnvbwxskvmh.png,familiar,6,10,9,4
A,outside_man,sun_amiicpnvbwxskvmh.png,novel,16,3,5,1
A,outside_man,sun_aofpsyendjarjvaw.png,familiar,16,3,3,5
A,outside_man,sun_aofpsyendjarjvaw.png,novel,11,11,5,1
A,outside_man,sun_apmhvwjpoidrgomc.png,familiar,7,5,9,13
A,outside_man,sun_apmhvwjpoidrgomc.png,novel,6,5,7,3
A,outside_man,sun_aputwudvfhsgcsgg.png,familiar,10,11,3,3
