set,scene,imgfile,seen,novel,novelmaybe,familiarmaybe,familiar
B,outside_man,sun_accbrnzxuvtlnfte.png,familiar,8,3,4,2
B,outside_man,sun_accbrnzxuvtlnfte.png,novel,11,8,4,3
B,outside_man,sun_accnapeyuiitgzxz.png,familiar,6,2,7,11
B,outside_man,sun_accnapeyuiitgzxz.png,novel,10,4,4,3
B,outside_man,sun_acebwlwlbivavdcn.png,familiar,7,6,6,6
B,outside_man,sun_acebwlwlbivavdcn.png,novel,12,5,2,NA
B,outside_man,sun_acevqiqryuokiacc.png,familiar,5,3,5,6
B,outside_man,sun_acevqiqryuokiacc.png,novel,9,3,6,7
B,outside_man,sun_acfkaobymiptdeij.png,familiar,10,4,1,4
B,outside_man,sun_acfkaobymiptdeij.png,novel,10,10,1,4
B,outside_nat,sun_aaacmydfmcozlpel.png,familiar,4,5,7,2
B,outside_nat,sun_aaacmydfmcozlpel.png,novel,5,5,5,9
B,outside_nat,sun_aaansjgvhbrbxvvk.png,familiar,6,3,5,12
B,outside_nat,sun_aaansjgvhbrbxvvk.png,novel,6,NA,11,4
B,outside_nat,sun_aaarffxrewgissla.png,familiar,1,6,5,7
B,outside_nat,sun_aaarffxrewgissla.png,novel,9,4,8,1
B,outside_nat,sun_aaaxbrksvmdyrhpe.png,familiar,10,2,5,NA
B,outside_nat,sun_aaaxbrksvmdyrhpe.png,novel,19,6,3,NA
B,outside_nat,sun_aabhqzsffoeycgje.png,familiar,8,6,3,2
B,outside_nat,sun_aabhqzsffoeycgje.png,novel,6,1,11,4
B,outside_nat,sun_aabtemlmesogqbbp.png,familiar,7,1,4,7
B,outside_nat,sun_aabtemlmesogqbbp.png,novel,13,4,4,2
B,outside_nat,sun_aacbgqunsjqeatcv.png,familiar,11,7,3,4
B,outside_nat,sun_aacbgqunsjqeatcv.png,novel,7,7,5,2
B,outside_nat,sun_aacegqrsghanpufn.png,familiar,15,8,1,1
B,outside_nat,sun_aacegqrsghanpufn.png,novel,11,7,2,NA
B,outside_nat,sun_aacgcodmtsyjjmbx.png,familiar,4,1,13,5
B,outside_nat,sun_aacgcodmtsyjjmbx.png,novel,7,6,2,3
B,outside_nat,sun_aacjsxcwmkbgvpmb.png,familiar,13,4,4,2
B,outside_nat,sun_aacjsxcwmkbgvpmb.png,novel,14,4,NA,1
B,outside_nat,sun_aadneptrbqhkzwag.png,familiar,6,4,11,2
B,outside_nat,sun_aadneptrbqhkzwag.png,novel,6,1,13,4
B,outside_nat,sun_aafblbfkfftldfxp.png,familiar,10,3,5,2
B,outside_nat,sun_aafblbfkfftldfxp.png,novel,11,5,7,NA
B,outside_nat,sun_aafqfjpechscyidz.png,familiar,8,3,8,7
B,outside_nat,sun_aafqfjpechscyidz.png,novel,6,5,6,3
B,outside_nat,sun_aagkrwwxayqfeara.png,familiar,8,2,11,6
B,outside_nat,sun_aagkrwwxayqfeara.png,novel,7,3,9,2
B,outside_nat,sun_aagzczontectgtzw.png,familiar,12,4,5,2
B,outside_nat,sun_aagzczontectgtzw.png,novel,9,7,3,1
B,outside_nat,sun_aaivblcmcmxaurgo.png,familiar,6,2,14,5
B,outside_nat,sun_aaivblcmcmxaurgo.png,novel,8,4,8,5
B,outside_nat,sun_aajnqdxhijoxoqzu.png,familiar,5,2,9,6
B,outside_nat,sun_aajnqdxhijoxoqzu.png,novel,9,6,5,2
B,outside_nat,sun_aalcoddsgakiyibg.png,familiar,3,4,5,10
B,outside_nat,sun_aalcoddsgakiyibg.png,novel,7,8,8,3
B,outside_nat,sun_aalltyvjhbzhkmvg.png,familiar,8,4,7,5
B,outside_nat,sun_aalltyvjhbzhkmvg.png,novel,6,6,2,5
B,outside_nat,sun_aalxbocnraukuels.png,familiar,10,6,4,7
B,outside_nat,sun_aalxbocnraukuels.png,novel,8,4,2,2
B,outside_nat,sun_aalzlpkakxhogvru.png,familiar,5,3,4,6
B,outside_nat,sun_aalzlpkakxhogvru.png,novel,7,7,9,5
B,outside_nat,sun_aamepsrqelgzeleo.png,familiar,8,4,5,3
B,outside_nat,sun_aamepsrqelgzeleo.png,novel,11,7,6,1
B,outside_nat,sun_aamsdbqhyyzabsdt.png,familiar,5,3,7,4
B,outside_nat,sun_aamsdbqhyyzabsdt.png,novel,12,4,7,2
B,outside_nat,sun_aanfjwabnufovale.png,familiar,10,5,4,7
B,outside_nat,sun_aanfjwabnufovale.png,novel,2,11,4,2
B,outside_nat,sun_aaqyzvrweabdxjzo.png,familiar,4,5,6,1
B,outside_nat,sun_aaqyzvrweabdxjzo.png,novel,15,7,2,5
B,outside_nat,sun_aarnmhmjnoywelfb.png,familiar,6,4,6,2
B,outside_nat,sun_aarnmhmjnoywelfb.png,novel,9,3,9,2
B,outside_nat,sun_aavmchfjuxkpmnuv.png,familiar,10,1,3,5
B,outside_nat,sun_aavmchfjuxkpmnuv.png,novel,15,NA,1,2
B,outside_nat,sun_aazwxarwchtbkpuq.png,familiar,2,2,11,2
B,outside_nat,sun_aazwxarwchtbkpuq.png,novel,11,6,4,7
B,outside_nat,sun_abadecjsoottqgbp.png,familiar,6,4,13,2
B,outside_nat,sun_abadecjsoottqgbp.png,novel,8,3,4,2
B,outside_nat,sun_abaifaanomiouwiq.png,familiar,7,1,9,4
B,outside_nat,sun_abaifaanomiouwiq.png,novel,2,5,5,2
B,outside_nat,sun_abdoxebvkrdofyyh.png,familiar,12,NA,8,3
B,outside_nat,sun_abdoxebvkrdofyyh.png,novel,13,4,6,3
B,outside_nat,sun_abfqnimhfodrmbor.png,familiar,7,6,11,5
B,outside_nat,sun_abfqnimhfodrmbor.png,novel,8,6,3,1
B,outside_nat,sun_acfggivnbgypvwex.png,familiar,7,2,9,4
B,outside_nat,sun_acfggivnbgypvwex.png,novel,5,4,9,6
