imgfile,0,1,100,101,105,115,200,201,205,215
A/inside/sun_aaloiwdypreqzwnn.png,34,3,3,17,NA,1,NA,17,NA,NA
A/inside/sun_aawinctpjwdokiof.png,23,9,2,11,NA,2,3,21,NA,4
A/inside/sun_abhfieooonebxjrg.png,32,2,1,9,2,2,1,27,1,1
A/inside/sun_abmkzxvudrcajnle.png,28,2,1,12,1,1,3,26,1,2
A/inside/sun_abnptawlxcjefrmi.png,37,3,3,16,2,NA,1,11,2,2
A/inside/sun_abpqxslcljhrwmck.png,24,7,2,13,4,2,1,18,2,NA
A/inside/sun_abxzvqnkfecikftq.png,19,11,5,10,1,3,9,11,3,5
A/inside/sun_acfqbzkjnydmqtyi.png,24,12,4,13,NA,NA,1,20,2,1
A/inside/sun_adkonpxsblmtdukc.png,30,11,7,6,1,3,1,16,NA,2
A/inside/sun_agvgmjswjlfrnaqe.png,42,3,2,8,NA,1,NA,14,3,3
A/inside/sun_agxipqjrftuwlwpl.png,35,3,3,9,NA,1,1,22,NA,4
A/inside/sun_ahixsbikiamkdlxa.png,27,12,1,9,NA,2,2,21,2,NA
A/inside/sun_ahnymjevjmixbypi.png,25,11,5,11,2,1,NA,18,1,2
A/inside/sun_ahsovvjhbcyntaak.png,19,14,6,12,4,2,1,17,1,2
A/inside/sun_ahvaoneopufydell.png,27,9,1,12,NA,NA,1,24,NA,2
A/inside/sun_akapxrydwpdgvlck.png,30,3,3,17,1,3,1,18,NA,1
A/inside/sun_akihpnhiblchzhgq.png,25,3,1,9,NA,1,3,29,1,5
A/inside/sun_akmrxobzlzsiuhog.png,20,15,5,10,2,1,3,19,NA,2
A/inside/sun_akrccmohqijaceco.png,28,10,2,13,2,1,NA,16,4,NA
A/inside/sun_anikjvdrxrywuyvr.png,29,9,3,8,2,1,1,21,NA,2
A/inside/sun_aqjtevapheavsuzi.png,33,2,2,14,NA,1,1,24,1,NA
A/inside/sun_aqqqvkeocxjjbmvb.png,21,15,4,11,1,1,2,16,4,NA
A/inside/sun_artoiedgagfbgesn.png,29,4,NA,16,NA,NA,NA,29,NA,NA
A/inside/sun_aryhzqtgzrsfoydv.png,37,3,2,12,2,NA,1,14,2,3
A/inside/sun_asizwxdltgasvzue.png,25,14,4,11,2,4,NA,11,2,3
A/inside/sun_atbyxovooehnzemf.png,39,6,4,10,1,1,1,15,1,NA
